,Total Estimate,Male,Female
Workers 16 years and over,"2,209,641","1,227,892","981,749"
"        Car, truck, or van",88.1%,89.0%,87.0%
            Drove alone,78.0%,79.1%,76.7%
            Carpooled,10.1%,9.9%,10.2%
                In 2-person carpool,7.4%,7.1%,7.7%
                In 3-person carpool,1.6%,1.6%,1.6%
                In 4-or-more person carpool,1.1%,1.2%,1.0%
"            Workers per car, truck, or van",1.07,1.07,1.07
        Public transportation (excluding taxicab),2.4%,2.0%,2.8%
        Walked,1.4%,1.4%,1.4%
        Bicycle,0.3%,0.4%,0.1%
"        Taxicab, motorcycle, or other means",1.6%,1.7%,1.5%
        Worked from home,6.2%,5.4%,7.2%
